Date,strategy_name,y_actual_MLP,y_pred_MLP,y_actual_SGD,y_pred_SGD,y_actual_ABR,y_pred_ABR
2022-07-01,L_GBPUSD_S42_2_1605996_2E83D85E,0.0,-0.059909760118035914,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_3_1248697_32FE4D18,0.0,-0.14816774709443756,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_3_1417966_7E821E6D,0.0,-0.10754728022499029,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_3_1744719_F73CE88C,0.0,-0.3156485371223563,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_3_2299833_367BB086,0.0,0.0866737804486021,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_3_2389523_290B8AD0,0.0,-0.2740589102470886,0.0,0.036871991023561625,0.0,0.0
2022-07-01,L_GBPUSD_S42_3_2738258_D59264DC,0.0,-0.17275676764413592,0.0,-0.004680620861528193,0.0,0.0
2022-07-01,L_GBPUSD_S42_4_1061317_58ADC376,0.0,0.08310354081262342,0.0,0.014759563445457344,0.0,0.0
2022-07-01,L_GBPUSD_S42_4_1248147_8DDEB5ED,0.0,-0.3395274794563998,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_4_1665623_89E490B5,0.0,-0.12782766652222163,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_4_1672550_C717C9EF,0.0,0.14244687402869777,0.0,-0.00620405223867975,0.0,0.0
2022-07-01,L_GBPUSD_S42_4_1786370_A28D04BD,0.0,-0.22215763760223506,0.0,-0.0005010630395328687,0.0,0.0
2022-07-01,L_GBPUSD_S42_4_2470336_82FFDCA5,0.0,-0.34628339665127056,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_4_463457_5325E483,0.0,-0.20505837694950874,0.0,0.0018098470063748374,0.0,0.0
2022-07-01,L_GBPUSD_S42_4_500691_E3886460,0.0,-0.2783597314408131,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_4_667669_DC955534,0.0,-0.04545705158500146,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_4_775755_F760C0D4,0.0,-0.27020320349445903,0.0,0.0,0.0,0.0
2022-07-01,L_GBPUSD_S42_4_793519_D8FAB916,0.0,0.8611547071373319,0.0,-0.04792128278932979,0.0,0.0
2022-07-01,S_EURUSD_S25_2_65287_C19B1B5D,10.0,8.400931568263244,10.0,9.963843012423096,10.0,5.0
2022-07-01,S_EURUSD_S27_0_968056_401BDC61,7.0,5.603023206095446,7.0,6.957893657194141,7.0,4.0
2022-07-01,S_EURUSD_S27_1_713515_F35AC498,0.0,0.1315182934329335,0.0,0.010392999501129034,0.0,0.0
2022-07-01,S_EURUSD_S27_2_941811_128EF295,9.0,-0.0721234017007905,9.0,0.0,9.0,0.0
2022-07-01,S_EURUSD_S29_1_277813_71E5B6D0,0.0,-0.057876543593860644,0.0,0.0054971610316971314,0.0,0.0
2022-07-01,S_EURUSD_S33_0_5403963_BA50C13E,0.0,-0.0017683962319239481,0.0,0.0003435732487407494,0.0,0.0
2022-07-01,S_EURUSD_S33_0_9499365_BA5CFEB7,0.0,-0.0795158556722903,0.0,0.0,0.0,0.0
2022-07-01,S_EURUSD_S33_1_1965310_88C485AE,0.0,-0.354139653699102,0.0,0.0,0.0,0.0
2022-07-01,S_EURUSD_S33_1_7435605_C247E543,0.0,-0.13968221736190392,0.0,0.0,0.0,0.0
2022-07-01,S_EURUSD_S33_3_1448881_78FBD3B5,0.0,-0.2607294816007854,0.0,-0.003765768919237347,0.0,0.0
2022-07-01,S_EURUSD_S33_3_1949787_E2DA9B94,0.0,-0.2391250889944541,0.0,0.0,0.0,0.0
2022-07-01,S_EURUSD_S33_3_3872153_B1F46378,0.0,-0.2716170036212888,0.0,0.0,0.0,0.0
2022-07-01,S_EURUSD_S33_3_6761538_C00ABECC,0.0,-0.010198838736817904,0.0,0.0,0.0,0.0
2022-07-01,S_EURUSD_S33_3_6897607_1B82BD79,0.0,-0.0752161676217859,0.0,0.0,0.0,0.0
2022-07-01,S_EURUSD_S33_3_7490134_3F1D1F3E,0.0,-0.18921456871845088,0.0,0.0,0.0,0.0
2022-07-01,S_EURUSD_S33_3_9645908_9F4E969C,0.0,-0.11929197390481829,0.0,-0.0014448189256281209,0.0,0.0
2022-07-01,S_EURUSD_S33_4_4585430_51A0A4C5,0.0,0.31553631850496433,0.0,0.0417909209177745,0.0,0.0
2022-07-01,S_EURUSD_S33_4_6607397_2278A9A2,0.0,1.4373215438137183,0.0,0.03127722448476118,0.0,0.0
2022-07-01,S_EURUSD_S41_0_1794197_1ECCA904,0.0,-0.0590684935593133,0.0,0.0,0.0,0.0
2022-07-01,S_EURUSD_S41_0_2283662_E9FE0C45,0.0,-0.19664448636202153,0.0,0.0,0.0,0.0
