Period,Strategy,net_pnl_change,Grand_Total_Top_10_Divided_by_10,Grand_Total_Bottom_10_Divided_by_10
2023-02,S_GBPUSD_S35_1_3749132_746299E1,-39.191048450000004,,-54.63781445200001
2023-02,L_EURUSD_S32_2_2999345_8D98723E,-34.53534663,,-54.63781445200001
2023-02,L_GBPUSD_S42_1_518384_153C4268,-30.893371229999993,,-54.63781445200001
2023-02,L_EURUSD_S24_2_977031_FFF2B578,-29.477847330000003,,-54.63781445200001
2023-02,L_GBPUSD_S42_4_793519_D8FAB916,-22.279641660000003,,-54.63781445200001
2023-03,L_EURUSD_S26_3_153647_5E8BD1C5,342.01348838,273.357031074,
2023-03,L_EURUSD_S32_2_9737662_670B1C00,339.70874233,273.357031074,
2023-03,L_EURUSD_S40_3_2605289_E2A4C437,313.11465755,273.357031074,
2023-03,L_GBPUSD_S42_3_1417966_7E821E6D,302.983099,273.357031074,
2023-03,L_GBPUSD_S42_2_1172432_88BC73CA,267.14799363,273.357031074,
2023-03,L_EURUSD_S40_3_2590923_2CF7B5E9,252.73742617,273.357031074,
2023-03,L_EURUSD_S32_1_9529041_FA929DA9,250.39446021,273.357031074,
2023-03,L_GBPUSD_S42_2_1263481_012B54F7,235.46990752,273.357031074,
2023-03,L_EURUSD_S26_0_642381_17F8C609,225.99526207,273.357031074,
2023-03,L_EURUSD_S40_1_2132828_63A45C87,204.00527388,273.357031074,
2023-03,S_EURUSD_S25_2_65287_C19B1B5D,-178.61365827999998,,-90.14529678199999
2023-03,S_EURUSD_S33_0_9499365_BA5CFEB7,-149.82840084999998,,-90.14529678199999
2023-03,S_GBPUSD_S43_4_757760_36AEAD74,-130.52957902999998,,-90.14529678199999
2023-03,S_GBPUSD_S35_1_6667748_CD1C245A,-98.35416610000001,,-90.14529678199999
2023-03,L_GBPUSD_S42_1_2515945_2CDE8A9C,-81.88260183999999,,-90.14529678199999
2023-03,L_EURUSD_S24_2_977031_FFF2B578,-77.25880405000001,,-90.14529678199999
2023-03,S_GBPUSD_S31_2_140033_E9073697,-54.338985879999996,,-90.14529678199999
2023-03,L_GBPUSD_S42_3_1248697_32FE4D18,-43.90941410999999,,-90.14529678199999
2023-03,S_EURUSD_S41_1_62593_8982CD74,-43.90329237000001,,-90.14529678199999
2023-03,S_EURUSD_S33_1_1965310_88C485AE,-42.83406531,,-90.14529678199999
2023-04,L_EURUSD_S40_1_309154_BCC61E94,212.85811106,158.846920401,
2023-04,L_EURUSD_S26_3_153647_5E8BD1C5,193.88360909,158.846920401,
2023-04,L_GBPUSD_S42_3_2299833_367BB086,176.73397774,158.846920401,
2023-04,S_EURUSD_S25_2_65287_C19B1B5D,173.03939106,158.846920401,
